Frame,Type,X,Y,Health,MovementPattern,AttackPattern,PowerUpDrop
2200,Alien2,300,0,15,SineWave,SpreadShot,
2250,PowerUp-MultiShot,250,0,1,Straight,None,
2300,Alien1,200,0,10,DiveBomb,SingleShot,
2350,Alien1,400,0,10,DiveBomb,SingleShot,
2400,Alien2,150,0,15,Straight,SpreadShot,
2450,Alien2,450,0,15,Straight,SpreadShot,
2500,PowerUp-SpeedUp,300,0,1,Straight,None,
2550,Alien1,250,0,10,SineWave,SingleShot,
2600,Alien1,350,0,10,SineWave,SingleShot,
2650,Alien2,200,0,15,DiveBomb,SpreadShot,
2700,Alien2,400,0,15,DiveBomb,SpreadShot,
2750,PowerUp-MultiShot,350,0,1,Straight,None,
2800,Alien1,100,0,10,Straight,SingleShot,
2850,Alien1,500,0,10,Straight,SingleShot,
2900,Alien2,300,0,15,SineWave,SpreadShot,
2950,PowerUp-SpeedUp,250,0,1,Straight,None,
3000,Alien1,150,0,10,DiveBomb,SingleShot,
3050,Alien1,450,0,10,DiveBomb,SingleShot,
3100,Alien2,300,0,15,SineWave,SpreadShot,
3150,Alien1,200,0,10,Straight,SingleShot,
3200,Alien1,400,0,10,Straight,SingleShot,
3250,PowerUp-MultiShot,300,0,1,Straight,None,
3300,Alien2,100,0,15,SineWave,SpreadShot,
3350,Alien2,500,0,15,SineWave,SpreadShot,
3400,Alien1,300,0,10,DiveBomb,SingleShot,
3450,Alien1,200,0,10,DiveBomb,SingleShot,
3500,Alien1,400,0,10,DiveBomb,SingleShot,
3550,PowerUp-SpeedUp,150,0,1,Straight,None,
3600,Alien2,150,0,15,Straight,SpreadShot,
3650,Alien2,300,0,15,Straight,SpreadShot,
3700,Alien2,450,0,15,Straight,SpreadShot,
3750,Alien1,100,0,10,SineWave,SingleShot,
3800,Alien1,500,0,10,SineWave,SingleShot,
3850,PowerUp-MultiShot,450,0,1,Straight,None,
3900,Alien2,200,0,15,DiveBomb,SpreadShot,
3950,Alien2,400,0,15,DiveBomb,SpreadShot,
4000,Alien1,300,0,10,Straight,SingleShot,
4050,Alien1,300,0,10,SineWave,SpreadShot,
4100,PowerUp-SpeedUp,300,0,1,Straight,None,
4500,Alien1,100,0,10,Straight,SingleShot,
4550,Alien1,200,0,10,Straight,SingleShot,
4600,Alien1,300,0,10,Straight,SingleShot,
4650,Alien1,400,0,10,Straight,SingleShot,
4700,Alien1,500,0,10,Straight,SingleShot,
5000,Alien2,150,0,15,SineWave,SpreadShot,
5050,Alien1,300,0,10,DiveBomb,SingleShot,
5100,Alien2,450,0,15,SineWave,SpreadShot,
5150,PowerUp-MultiShot,300,0,1,Straight,None,
5500,Alien2,100,0,15,DiveBomb,SpreadShot,
5550,Alien2,250,0,15,DiveBomb,SpreadShot,
5600,Alien2,400,0,15,DiveBomb,SpreadShot,
5650,Alien2,500,0,15,DiveBomb,SpreadShot,
6000,PowerUp-SpeedUp,300,0,1,Straight,None,
6200,Alien1,150,0,10,SineWave,SingleShot,
6250,Alien1,250,0,10,SineWave,SingleShot,
6300,Alien1,350,0,10,SineWave,SingleShot,
6350,Alien1,450,0,10,SineWave,SingleShot,
6500,Alien2,300,0,20,Straight,SpreadShot,
6550,Alien2,300,0,20,Straight,SpreadShot,
7000,Alien1,100,0,10,DiveBomb,SingleShot,
7050,Alien2,200,0,15,Straight,SpreadShot,
7100,Alien1,300,0,10,DiveBomb,SingleShot,
7150,Alien2,400,0,15,Straight,SpreadShot,
7200,Alien1,500,0,10,DiveBomb,SingleShot,
7250,Alien2,150,0,15,SineWave,SpreadShot,
7300,Alien2,450,0,15,SineWave,SpreadShot,
7350,Alien2,250,0,15,SineWave,SpreadShot,
7400,Alien2,350,0,15,SineWave,SpreadShot,
7500,Alien1,100,0,10,Straight,SingleShot,
7500,PowerUp-MultiShot,150,0,1,Straight,None,
7550,PowerUp-SpeedUp,450,0,1,Straight,None,
7600,Alien1,200,0,10,Straight,SingleShot,
7650,Alien1,400,0,10,Straight,SingleShot,
7700,Alien2,300,0,15,DiveBomb,SpreadShot,
7750,Alien2,500,0,15,DiveBomb,SpreadShot,
7800,Alien1,150,0,10,SineWave,SingleShot,
7850,Alien1,250,0,10,SineWave,SingleShot,
7900,Alien1,350,0,10,SineWave,SingleShot,
7950,Alien1,450,0,10,SineWave,SingleShot,
8000,Alien2,100,0,15,Straight,SpreadShot,
8050,Alien2,200,0,15,Straight,SpreadShot,
8100,Alien2,300,0,15,Straight,SpreadShot,
8150,Alien2,400,0,15,Straight,SpreadShot,
8200,Alien2,500,0,15,Straight,SpreadShot,
8250,Alien1,150,0,10,SineWave,SingleShot,
8300,Alien1,250,0,10,SineWave,SingleShot,
8350,Alien1,350,0,10,SineWave,SingleShot,
8400,Alien1,450,0,10,SineWave,SingleShot,
8450,Alien2,300,0,15,DiveBomb,SpreadShot,
8500,PowerUp-MultiShot,300,0,1,Straight,None,
8550,PowerUp-SpeedUp,250,0,1,Straight,None,
8600,Alien1,100,0,10,Straight,SingleShot,
8650,Alien1,500,0,10,Straight,SingleShot,
8700,Alien1,150,0,10,SineWave,SingleShot,
8750,Alien1,450,0,10,SineWave,SingleShot,
8800,Alien2,200,0,15,DiveBomb,SpreadShot,
8800,Boss,300,50,100,BossPattern,BossAttack,
